id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	PV MMP11|PV MMP11	PV MMP11|PV MYH11	PV MMP11|PV STEAP4	PV MMP11|EVT_1	PV MMP11|EVT_2	PV MMP11|iEVT	PV MMP11|VCT_CCC	PV MMP11|GC	PV MMP11|eEVT	PV MYH11|PV MMP11	PV MYH11|PV MYH11	PV MYH11|PV STEAP4	PV MYH11|EVT_1	PV MYH11|EVT_2	PV MYH11|iEVT	PV MYH11|VCT_CCC	PV MYH11|GC	PV MYH11|eEVT	PV STEAP4|PV MMP11	PV STEAP4|PV MYH11	PV STEAP4|PV STEAP4	PV STEAP4|EVT_1	PV STEAP4|EVT_2	PV STEAP4|iEVT	PV STEAP4|VCT_CCC	PV STEAP4|GC	PV STEAP4|eEVT	EVT_1|PV MMP11	EVT_1|PV MYH11	EVT_1|PV STEAP4	EVT_1|EVT_1	EVT_1|EVT_2	EVT_1|iEVT	EVT_1|VCT_CCC	EVT_1|GC	EVT_1|eEVT	EVT_2|PV MMP11	EVT_2|PV MYH11	EVT_2|PV STEAP4	EVT_2|EVT_1	EVT_2|EVT_2	EVT_2|iEVT	EVT_2|VCT_CCC	EVT_2|GC	EVT_2|eEVT	iEVT|PV MMP11	iEVT|PV MYH11	iEVT|PV STEAP4	iEVT|EVT_1	iEVT|EVT_2	iEVT|iEVT	iEVT|VCT_CCC	iEVT|GC	iEVT|eEVT	VCT_CCC|PV MMP11	VCT_CCC|PV MYH11	VCT_CCC|PV STEAP4	VCT_CCC|EVT_1	VCT_CCC|EVT_2	VCT_CCC|iEVT	VCT_CCC|VCT_CCC	VCT_CCC|GC	VCT_CCC|eEVT	GC|PV MMP11	GC|PV MYH11	GC|PV STEAP4	GC|EVT_1	GC|EVT_2	GC|iEVT	GC|VCT_CCC	GC|GC	GC|eEVT	eEVT|PV MMP11	eEVT|PV MYH11	eEVT|PV STEAP4	eEVT|EVT_1	eEVT|EVT_2	eEVT|iEVT	eEVT|VCT_CCC	eEVT|GC	eEVT|eEVT
CPI-SC04BD52124	COL18A1_integrin_a2b1_complex	simple:P39060	complex:integrin_a2b1_complex	COL18A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.891	0.0	0.0	0.857	0.885	0.874	0.862	0.884	1.131	0.815	0.0	0.0	0.781	0.809	0.799	0.786	0.808	1.055	0.992	0.0	0.0	0.958	0.986	0.975	0.963	0.985	1.232	0.044	0.0	0.0	0.01	0.038	0.027	0.015	0.037	0.284	0.059	0.0	0.0	0.025	0.053	0.043	0.03	0.052	0.299	0.05	0.0	0.0	0.016	0.044	0.034	0.021	0.043	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.043	0.0	0.0	0.009	0.036	0.026	0.014	0.036	0.283
CPI-SC0BDD04147	COL19A1_integrin_a2b1_complex	simple:Q14993	complex:integrin_a2b1_complex	COL19A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.097	0.0	0.0	0.063	0.091	0.08	0.068	0.09	0.337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.068	0.0	0.0	0.034	0.062	0.052	0.039	0.061	0.308	0.045	0.0	0.0	0.011	0.039	0.028	0.016	0.038	0.285	0.045	0.0	0.0	0.011	0.039	0.029	0.016	0.038	0.285	0.063	0.0	0.0	0.029	0.057	0.046	0.034	0.056	0.303	0.062	0.0	0.0	0.028	0.056	0.045	0.033	0.055	0.302	0.1	0.0	0.0	0.066	0.094	0.083	0.071	0.093	0.34	0.149	0.0	0.0	0.115	0.143	0.133	0.12	0.142	0.389
CPI-SC04BCFC59C	COL1A1_integrin_a2b1_complex	simple:P02452	complex:integrin_a2b1_complex	COL1A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.909	0.0	0.0	0.875	0.903	0.892	0.88	0.902	1.149	0.825	0.0	0.0	0.791	0.819	0.808	0.796	0.818	1.065	0.925	0.0	0.0	0.891	0.919	0.908	0.896	0.918	1.165	0.063	0.0	0.0	0.029	0.057	0.046	0.034	0.056	0.303	0.17	0.0	0.0	0.136	0.164	0.153	0.141	0.163	0.41	0.116	0.0	0.0	0.082	0.11	0.099	0.087	0.109	0.356	0.102	0.0	0.0	0.068	0.096	0.085	0.073	0.095	0.342	0.302	0.0	0.0	0.268	0.296	0.285	0.273	0.295	0.542	0.083	0.0	0.0	0.049	0.077	0.067	0.054	0.077	0.323
CPI-SC03D0A4AD2	COL1A2_integrin_a2b1_complex	simple:P08123	complex:integrin_a2b1_complex	COL1A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.621	0.0	0.0	0.587	0.615	0.604	0.592	0.614	0.861	0.799	0.0	0.0	0.765	0.792	0.782	0.77	0.792	1.039	0.897	0.0	0.0	0.863	0.891	0.88	0.868	0.89	1.137	0.057	0.0	0.0	0.023	0.051	0.04	0.028	0.05	0.297	0.107	0.0	0.0	0.073	0.101	0.09	0.078	0.1	0.347	0.085	0.0	0.0	0.051	0.078	0.068	0.056	0.078	0.325	0.131	0.0	0.0	0.097	0.125	0.115	0.102	0.124	0.371	0.371	0.0	0.0	0.337	0.365	0.354	0.342	0.364	0.611	0.128	0.0	0.0	0.094	0.122	0.111	0.099	0.121	0.368
CPI-SC0D10396B4	COL21A1_integrin_a2b1_complex	simple:Q96P44	complex:integrin_a2b1_complex	COL21A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.079	0.0	0.0	0.045	0.073	0.062	0.05	0.072	0.319	0.112	0.0	0.0	0.078	0.106	0.095	0.083	0.105	0.352	0.163	0.0	0.0	0.129	0.157	0.147	0.134	0.156	0.403	0.294	0.0	0.0	0.26	0.288	0.277	0.265	0.287	0.534	0.425	0.0	0.0	0.39	0.418	0.408	0.396	0.418	0.665	0.323	0.0	0.0	0.289	0.317	0.306	0.294	0.316	0.563	0.389	0.0	0.0	0.355	0.383	0.373	0.36	0.383	0.63	0.357	0.0	0.0	0.323	0.351	0.341	0.328	0.35	0.597	0.938	0.0	0.0	0.904	0.932	0.922	0.909	0.931	1.178
CPI-SC04D3AE2F6	COL22A1_integrin_a2b1_complex	simple:Q8NFW1	complex:integrin_a2b1_complex	COL22A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC088A27EA5	COL24A1_integrin_a2b1_complex	simple:Q17RW2	complex:integrin_a2b1_complex	COL24A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.103	0.0	0.0	0.069	0.097	0.086	0.074	0.096	0.343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041	0.0	0.0	0.007	0.035	0.024	0.012	0.034	0.281	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.057	0.0	0.0	0.023	0.051	0.04	0.028	0.05	0.297
CPI-SC0F179D307	COL26A1_integrin_a2b1_complex	simple:Q96A83	complex:integrin_a2b1_complex	COL26A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.0	0.01	0.038	0.027	0.015	0.037	0.284	0.048	0.0	0.0	0.014	0.042	0.031	0.019	0.041	0.288	0.075	0.0	0.0	0.041	0.069	0.058	0.046	0.068	0.315	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.063	0.0	0.0	0.029	0.057	0.047	0.034	0.056	0.303	0.121	0.0	0.0	0.087	0.115	0.104	0.092	0.114	0.361
CPI-SC044C2FDA4	COL27A1_integrin_a2b1_complex	simple:Q8IZC6	complex:integrin_a2b1_complex	COL27A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.089	0.0	0.0	0.055	0.083	0.072	0.06	0.082	0.329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.129	0.0	0.0	0.095	0.123	0.112	0.1	0.122	0.369	0.366	0.0	0.0	0.332	0.36	0.349	0.337	0.359	0.606	0.559	0.0	0.0	0.525	0.553	0.542	0.53	0.552	0.799	0.667	0.0	0.0	0.633	0.661	0.65	0.638	0.66	0.907	0.154	0.0	0.0	0.12	0.148	0.137	0.125	0.147	0.394	0.468	0.0	0.0	0.434	0.462	0.452	0.439	0.461	0.708	0.549	0.0	0.0	0.515	0.543	0.533	0.521	0.543	0.79
CPI-SC04251A46C	COL28A1_integrin_a2b1_complex	simple:Q2UY09	complex:integrin_a2b1_complex	COL28A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.068	0.0	0.0	0.034	0.062	0.052	0.039	0.061	0.308	0.04	0.0	0.0	0.006	0.034	0.023	0.011	0.033	0.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042	0.0	0.0	0.008	0.036	0.026	0.013	0.036	0.282	0.058	0.0	0.0	0.024	0.052	0.042	0.029	0.051	0.298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC09C62F412	COL2A1_integrin_a2b1_complex	simple:P02458	complex:integrin_a2b1_complex	COL2A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SC06A152CC0	COL3A1_integrin_a2b1_complex	simple:P02461	complex:integrin_a2b1_complex	COL3A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.834	0.0	0.0	0.8	0.828	0.817	0.805	0.827	1.074	0.857	0.0	0.0	0.823	0.851	0.841	0.828	0.85	1.097	0.964	0.0	0.0	0.93	0.958	0.948	0.935	0.957	1.204	0.084	0.0	0.0	0.05	0.078	0.067	0.055	0.077	0.324	0.25	0.0	0.0	0.216	0.244	0.234	0.221	0.243	0.49	0.192	0.0	0.0	0.158	0.186	0.175	0.163	0.185	0.432	0.149	0.0	0.0	0.115	0.143	0.132	0.12	0.142	0.389	0.345	0.0	0.0	0.311	0.339	0.328	0.316	0.338	0.585	0.087	0.0	0.0	0.053	0.081	0.07	0.058	0.08	0.327
CPI-SC03515B178	COL4A1_integrin_a2b1_complex	simple:P02462	complex:integrin_a2b1_complex	COL4A1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.682	0.0	0.0	0.648	0.675	0.665	0.653	0.675	0.922	0.859	0.0	0.0	0.825	0.853	0.843	0.83	0.852	1.099	0.939	0.0	0.0	0.905	0.933	0.922	0.91	0.932	1.179	0.781	0.0	0.0	0.747	0.775	0.765	0.752	0.774	1.021	1.122	0.0	0.0	1.088	1.116	1.105	1.093	1.115	1.362	1.124	0.0	0.0	1.09	1.118	1.108	1.095	1.117	1.364	0.466	0.0	0.0	0.432	0.46	0.449	0.437	0.459	0.706	1.276	0.0	0.0	1.242	1.27	1.259	1.247	1.269	1.516	1.24	0.0	0.0	1.206	1.234	1.223	1.211	1.233	1.48
CPI-SC046604E76	COL4A2_integrin_a2b1_complex	simple:P08572	complex:integrin_a2b1_complex	COL4A2		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.577	0.0	0.0	0.543	0.571	0.56	0.548	0.57	0.817	0.687	0.0	0.0	0.653	0.681	0.67	0.658	0.68	0.927	0.902	0.0	0.0	0.868	0.896	0.885	0.873	0.895	1.142	0.718	0.0	0.0	0.684	0.712	0.701	0.689	0.711	0.958	1.06	0.0	0.0	1.026	1.054	1.044	1.031	1.053	1.3	0.997	0.0	0.0	0.962	0.99	0.98	0.968	0.99	1.237	0.569	0.0	0.0	0.535	0.563	0.553	0.54	0.562	0.809	1.039	0.0	0.0	1.005	1.032	1.022	1.01	1.032	1.279	1.199	0.0	0.0	1.165	1.193	1.182	1.17	1.192	1.439
CPI-SC0926FDACC	COL4A3_integrin_a2b1_complex	simple:Q01955	complex:integrin_a2b1_complex	COL4A3		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.039	0.0	0.0	0.005	0.033	0.023	0.01	0.032	0.279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049	0.0	0.0	0.015	0.043	0.033	0.02	0.043	0.29
CPI-SC072376C7B	COL4A4_integrin_a2b1_complex	simple:P53420	complex:integrin_a2b1_complex	COL4A4		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.067	0.0	0.0	0.033	0.061	0.05	0.038	0.06	0.307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058	0.0	0.0	0.024	0.052	0.041	0.029	0.051	0.298
CPI-SC0C287AFC3	COL4A5_integrin_a2b1_complex	simple:P29400	complex:integrin_a2b1_complex	COL4A5		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.169	0.0	0.0	0.134	0.162	0.152	0.14	0.162	0.409	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.148	0.0	0.0	0.114	0.142	0.132	0.119	0.141	0.388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.026	0.054	0.043	0.031	0.053	0.3	0.067	0.0	0.0	0.033	0.061	0.051	0.038	0.06	0.307	0.066	0.0	0.0	0.032	0.06	0.049	0.037	0.059	0.306	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059	0.0	0.0	0.025	0.052	0.042	0.03	0.052	0.299
CPI-SC0FDD31EAB	COL4A6_integrin_a2b1_complex	simple:Q14031	complex:integrin_a2b1_complex	COL4A6		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Collagen/Integrin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.0	0.011	0.039	0.029	0.016	0.039	0.285
